PATRIC.ID,CDMM_A,CDMM_B,CDMM_C,Comm_A,Comm_B,Comm_C,IEC_A,IEC_B,IEC_C
fig|645463.3.peg.272,1.5,2.14,2.11,3.49,2.85,2.59,3.74,3.14,3.64
fig|645463.3.peg.273,4.24,4.94,5.51,5.65,5.5,6.16,7.19,6.43,6.57
fig|645463.3.peg.274,3.02,3.29,3.77,3.97,5.72,4.37,4.03,3.43,4.56
fig|645463.3.peg.275,3.98,4.31,5.7,6.73,8.09,8.03,6.12,6.08,6.21
fig|645463.3.peg.276,4.15,4.51,5.09,6.48,8.21,8.64,7.23,7.29,8.61
fig|645463.3.peg.277,1.86,2.16,3.05,4.24,3.97,4.82,4.45,5.21,4.95
fig|645463.3.peg.278,1.06,2.05,1.88,2.52,3.12,3.31,1.8,3.79,3.17
fig|645463.3.peg.279,3.97,4.71,4.39,8.22,9.22,8.18,9.65,10.36,10.54
fig|645463.3.peg.280,3.01,3.4,4.1,6.53,7.59,6.15,6.49,7.67,7.67
fig|645463.3.peg.281,3.07,3.84,3.88,6.13,7.07,6.47,6.75,7.51,7.61
fig|645463.3.peg.282,4.66,5.45,5.89,6.43,8.02,7.4,6.63,7.62,7.4
fig|645463.3.peg.283,3.09,3.55,3.56,4.03,5.59,4.8,3.57,4.7,4.07
fig|645463.3.peg.284,4.55,5.32,5.19,6.68,7.63,6.51,5.59,5.89,6.28
fig|645463.3.peg.285,1.44,1.57,1.48,2.42,2.72,2.61,1.66,1.75,2.28
fig|645463.3.peg.286,1.61,2.28,1.54,1.3,1.87,1.46,1.27,1.59,1.99
fig|645463.3.peg.288,8.24,8.29,7.64,8.27,9.69,9.13,8.51,8.24,8.26
fig|645463.3.peg.290,7.05,7.97,8.04,7.09,9.12,9.1,6.7,7.39,7.96
fig|645463.3.peg.291,7.04,7.15,7.68,8,8.5,9.09,6.15,8.09,6.47
fig|645463.3.peg.292,2.8,3.65,3.53,4.18,4.36,4.77,3.12,3.26,3.58
